;Parameter__Hoedanigheid__Eenheid;Unnamed: 1;2PFC6yC2a1sf__NVT__ug/l;C1yprmfs__NVT__ug/l;Clidzn__NVT__ug/l;Cltlrn__NVT__ug/l;Dmtat__NVT__ug/l;DmtnmdP__NVT__ug/l;Durn__NVT__ug/l;EtFOSAA__NVT__ug/l;FRD-903__NVT__ug/l;H-PFC10asfzr__NVT__ug/l;H-PFC6asfzr__NVT__ug/l;L_PFBS__NVT__ug/l;L_PFHpS__NVT__ug/l;L_PFHxS__NVT__ug/l;N-MeFOSAA__NVT__ug/l;PFBA__NVT__ug/l;PFC5asfzr__NVT__ug/l;PFDA__NVT__ug/l;PFDoA__NVT__ug/l;PFHpA__NVT__ug/l;PFHxA__NVT__ug/l;PFNA__NVT__ug/l;PFOA__NVT__ug/l;PFOSA__NVT__ug/l;PFOS__NVT__ug/l;PFPA__NVT__ug/l;PFUdA__NVT__ug/l;TC4ySn__NVT__ug/l;atzne__NVT__ug/l;cF16C10ezr__NVT__ug/l;cumfs__NVT__ug/l;desC2yatzne__NVT__ug/l;imdcpd__NVT__ug/l;iptrn__NVT__ug/l;irgrl__NVT__ug/l;metbtazrn__NVT__ug/l;metlCl__NVT__ug/l;mzCl__NVT__ug/l;propcnzl__NVT__ug/l;propzne__NVT__ug/l;pyrdbn__NVT__ug/l;pyrpxfn__NVT__ug/l;simzne__NVT__ug/l;sverttPFHxS__NVT__ug/l;sverttPFOS__NVT__ug/l;terC4yazne__NVT__ug/l;terbtn__NVT__ug/l;thiacpd__NVT__ug/l;tolcfsC1y__NVT__ug/l
34;4;NL40_C-358749__NL40_GO_08;0.00116;0.0;0.00959;0.0;0.0;0.00219;0.00231;0.0;0.0;0.0;0.0;0.003;0.0;0.000945;0.0;0.00741;0.000191;0.000131;0.0;0.00125;0.00259;0.00023;0.00344;0.0;0.00106;0.002;0.0;7.4e-05;0.0;0.0;0.0;0.0;0.00414;0.00106;0.0;0.000255;0.0142;0.0;0.0;0.0;0.0;8e-06;0.0;0.000314;0.00157;0.0;0.0;0.0;0.0
36;4;NL40_C-358815__NL40_BO_13;0.0;0.0;0.0;0.0085;0.000318;0.0;0.00219;0.0;0.0;0.0;0.0;0.00369;0.0;0.000825;0.0;0.00281;0.000176;0.000226;0.0;0.00139;0.00242;0.000282;0.003;0.0;0.00136;0.00239;0.0;0.000237;0.0;0.0;0.0;0.0028;0.00226;0.00112;0.0;0.0;0.00218;0.0;0.0;0.0;0.0;0.0;0.0;0.000203;0.00135;0.0;0.0;0.0;0.0
37;4;NL40_C-358825__NL40_HO_05;0.0;0.0;0.0084;0.0;0.0;0.0;0.00106;0.0;0.0;0.0;0.0;0.00192;0.0;0.00031;0.0;0.00725;0.0;8.32e-05;0.0;0.000865;0.00134;0.000164;0.00518;0.0;0.000338;0.00138;0.0;0.000112;0.0;0.0;0.0;0.0;0.00103;0.000398;0.0;0.000282;0.00241;0.0;0.00479;0.0;0.0;0.0;0.0;0.000176;0.000491;0.0;0.0;0.0;0.0
38;4;NL40_C-364864__NL40_YOP_0201;0.00273;0.0;0.00863;0.000345;0.0;0.0;0.00172;0.0;0.00146;0.0;0.0;0.00467;0.000165;0.00221;0.0;0.00957;0.000482;0.000633;0.0;0.00325;0.00548;0.000807;0.0094;0.0;0.0024;0.00426;0.0;0.0;0.0;0.0;0.0;0.0;0.000925;0.000935;0.0;0.000185;0.00333;0.0;0.0;0.0;0.0;0.0;0.0;0.000574;0.00266;0.0;0.0;0.0;0.0
50;6;NL40_C-359144__NL40_BO_13;0.00105;0.0;0.0;0.00687;0.0;0.0;0.00227;0.0;0.0;0.0;0.0;0.0039;0.0;0.000974;0.0;0.00342;0.000195;0.000284;0.0;0.00135;0.00268;0.000325;0.00331;0.0;0.00171;0.00262;0.0;0.000521;0.0;0.0;0.0;0.0036;0.00228;0.00105;0.0;0.0;0.00228;0.0;0.0;0.0;0.0;0.0;0.0;0.000215;0.00156;0.0;0.0;0.0;0.0
63;7;NL40_C-359248__NL40_YOP_0201;0.0;0.0;0.00357;0.000837;0.0;0.0;0.00362;0.0;0.0;0.0;0.0;0.00187;0.0;0.000371;0.0;0.00209;0.0;7.1e-05;0.0;0.000612;0.00139;0.000123;0.00126;0.0;0.000553;0.00145;0.0;4.3e-05;0.0;0.0;0.0;0.0;0.000558;0.000372;0.0;0.0;0.00159;0.0;0.0;0.0;0.0;0.0;0.0;8.94e-05;0.000461;0.0;0.0;0.0;0.0
79;8;NL40_C-359358__NL40_HO_05;0.0;0.0;0.00791;0.0;0.0;0.0;0.00256;0.0;0.0;0.0;0.0;0.00205;0.0;0.000329;0.0;0.00741;0.0;8.36e-05;0.0;0.00101;0.00119;0.000171;0.00709;0.0;0.000315;0.00231;0.0;0.000188;0.0;0.0;0.0;0.0;0.000847;0.000636;0.0;0.000221;0.00201;0.0;0.00997;0.0;0.0;0.0;0.0;0.000192;0.000555;0.0;0.0;0.0;0.0
92;9;NL40_C-359567__NL40_GO_08;0.00169;0.0;0.00661;0.0;0.0;0.0034;0.00238;0.0;0.0;5.18e-05;0.0;0.00256;0.0;0.00104;0.0;0.00629;0.000189;0.000149;0.0;0.00128;0.00222;0.000281;0.00356;0.0;0.00147;0.00191;0.0;0.000146;0.0;0.0;0.0002;0.0;0.00281;0.00141;0.0;0.000236;0.0452;0.0;0.0;0.0;0.0002;2.2e-05;0.0;0.000293;0.0021;0.0;0.0;0.0;0.0
100;10;NL40_C-359658__NL40_BO_13;0.0;0.0;0.00117;0.0049;0.0;0.00138;0.00244;0.0;0.0;0.0;0.0;0.00264;0.0;0.000698;0.0;0.00246;0.000152;0.00025;0.0;0.00115;0.00206;0.000297;0.00251;0.0;0.00175;0.00184;0.0;0.000358;0.0;0.0;0.0;0.00307;0.00159;0.00102;0.0;0.0;0.00226;0.0;0.00319;0.0;0.0;5e-06;0.0;0.000158;0.00159;0.0;0.0;0.0;0.0
101;10;NL40_C-359705__NL40_GO_08;0.0;0.0;0.00483;0.0;0.0;0.0;0.00743;0.0;0.0;0.0;0.0;0.00252;0.0;0.000765;0.0;0.00526;0.000153;0.000102;0.0;0.000989;0.00165;0.000175;0.00294;0.0;0.000925;0.00142;0.0;0.000123;0.0;0.0;0.0002;0.0;0.00974;0.0;0.0;0.0;0.00549;0.0;0.0;0.0;0.0002;0.0;0.0;0.000236;0.00133;0.00202;0.0;0.0;0.0
102;10;NL40_C-364866__NL40_YOP_0201;0.0419;0.0;0.00285;0.000549;0.0;0.0;0.00373;0.000252;0.0;0.0;0.0;0.00542;0.000643;0.00966;0.0;0.0102;0.00219;0.00357;8.9e-05;0.00838;0.0212;0.00258;0.0213;0.0001;0.0139;0.0162;0.0;6e-05;0.0;0.0;0.0002;0.0;0.00166;0.000357;0.0;0.0;0.0019;0.0;0.0;0.0;0.0002;0.0;0.0;0.00206;0.014;0.0;0.0;0.0501;0.0
114;11;NL40_C-359956__NL40_HO_05;0.0;0.000111;0.00894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00232;0.0;0.000322;0.0;0.00576;0.0;7.97e-05;0.0;0.000752;0.000885;0.000163;0.00578;0.0;0.000346;0.000759;0.0;0.000197;0.0;0.0;0.0;0.0;0.00241;0.000367;0.0;0.0;0.00749;0.0;0.00461;0.0;0.0;0.0;0.0;0.000143;0.000715;0.0024;0.0;0.0;0.0
142;14;NL40_C-360175__NL40_YOP_0201;0.00167;0.0;0.0043;0.00131;0.0;0.0147;0.0;0.0;0.00111;0.0;0.0;0.00476;0.0;0.000688;0.0;0.00691;0.000163;0.000214;0.0;0.0011;0.00208;0.000231;0.0054;0.0;0.00112;0.00219;0.0;0.000171;0.0;0.0;0.0;0.00173;0.00105;0.00118;0.0;0.0;0.00229;0.00256;0.0;0.0;0.0;0.0;0.0;0.000217;0.00118;0.0;0.0;0.0;0.0
167;15;NL40_C-364865__NL40_BO_13;0.0;0.0;0.0;0.00273;0.0;0.00144;0.0018;0.0;0.0;0.0;0.0;0.00392;0.0;0.000773;0.0;0.00301;0.000172;0.000204;5.4e-05;0.00143;0.00254;0.000231;0.00289;0.0;0.0013;0.00232;0.0;0.0003;0.0;0.0;0.0;0.00363;0.00107;0.00186;0.0;0.0;0.00366;0.0;0.0;0.0;0.0;0.0;0.0;0.000135;0.0013;0.0;0.0;0.0;0.0
181;16;NL40_C-360613__NL40_GO_08;0.0;0.0;0.00303;0.0019;0.0;0.0138;0.00185;0.0;0.0;0.0;0.0;0.00321;0.0;0.000958;6.85e-05;0.00462;0.00019;0.000138;0.0;0.00161;0.00287;0.000303;0.00388;0.0;0.00134;0.00351;0.0;8.3e-05;0.0;0.0;0.0;0.00252;0.00243;0.0173;0.0;0.0;0.00402;0.0;0.0;0.0;0.0;0.0;0.0;0.000223;0.00165;0.0;0.0;0.0;0.0
193;18;NL40_C-361014__NL40_HO_05;0.0;0.0;0.0114;0.000374;0.0;0.0031;0.00139;0.0;0.0;0.0;0.0;0.0045;0.0;0.000859;0.0;0.0114;0.000172;0.000118;0.0;0.00205;0.00277;0.000381;0.00818;0.0;0.000641;0.00285;0.0;0.000512;0.00771;0.0;0.0;0.0;0.000988;0.000369;0.0;0.000357;0.0026;0.0;0.0;0.0;0.0;0.0;0.0;0.000183;0.00138;0.00305;0.0;0.000566;0.0
214;19;NL40_C-361125__NL40_BO_13;0.0;0.0;0.00153;0.00233;0.0;0.0;0.00213;0.000112;0.0;0.0;0.0;0.00805;0.0;0.000945;0.000157;0.00364;0.000251;0.000187;0.0;0.00142;0.00278;0.000279;0.00272;0.0;0.00177;0.00325;0.0;0.00026;0.068;0.0;0.0;0.00697;0.0014;0.00167;0.0;0.0;0.00414;0.0;0.0;0.0;0.0;0.0;0.0014;0.000228;0.00144;0.0;0.0;0.0;0.0
216;19;NL40_C-361182__NL40_YOP_0201;0.0;0.0;0.00421;0.00104;0.0;0.00196;0.0;0.0;0.0;0.0;0.0;0.0082;0.000146;0.00189;0.0;0.008;0.00036;0.00103;9.3e-05;0.00269;0.00481;0.000633;0.00747;0.0;0.00353;0.00554;0.0;0.000233;0.0439;0.0;0.0;0.00464;0.00159;0.00103;0.0;0.000128;0.00403;0.0;0.0;0.0;0.0;0.0;0.0;0.000423;0.00283;0.0;0.0;0.000905;0.0
239;20;NL40_C-361240__NL40_GO_08;0.0;0.0;0.00949;0.00151;0.0;0.00806;0.00373;0.0;0.0;0.0;0.0;0.00595;0.0;0.000984;5.15e-05;0.00536;0.000219;0.000139;0.0;0.0018;0.00334;0.000294;0.00284;0.0;0.00132;0.00311;0.0;8.8e-05;0.0281;0.0;0.0;0.00546;0.00253;0.00677;0.0;0.000168;0.00626;0.00679;0.0;0.0;0.0;0.0;0.00137;0.000239;0.00149;0.0;0.0;0.00362;0.0
252;22;NL40_C-361563__NL40_HO_05;0.0;0.0;0.00498;0.00127;0.0;0.00312;0.00666;0.000135;0.0;0.0;0.0;0.0108;0.000101;0.00134;0.0;0.0065;0.000244;0.000349;7.4e-05;0.00185;0.00361;0.000469;0.00353;0.0;0.00258;0.00388;0.0;0.00194;0.00535;0.0;0.0;0.00445;0.00136;0.00187;0.00593;0.0;0.00945;0.0;0.0;0.0;0.0;0.0;0.00116;0.000289;0.00174;0.00328;0.00265;0.00248;0.0
256;23;NL40_C-361607__NL40_GO_08;0.00114;0.0;0.0097;0.00131;0.0;0.0046;0.00386;0.0;0.0;0.0;0.0;0.0111;0.0;0.00146;0.0;0.00578;0.000246;0.000204;0.0;0.00229;0.00475;0.000441;0.00399;0.0;0.00208;0.00658;0.0;0.000104;0.0405;0.0;0.0;0.00694;0.00261;0.00265;0.0;0.000949;0.00413;0.0;0.0;0.0;0.0;0.0;0.0;0.000309;0.00194;0.0;0.00211;0.0064;0.0
257;23;NL40_C-361632__NL40_HO_05;0.0;0.0;0.00875;0.00102;0.0;0.0198;0.00571;0.0;0.0;0.0;0.0;0.0092;0.0;0.00109;0.0;0.00557;0.00022;0.000325;0.0;0.00185;0.00344;0.000467;0.00377;0.0;0.00202;0.00294;0.0;0.000533;0.00435;0.0;0.0;0.00416;0.00124;0.00168;0.00358;0.0;0.0181;0.0;0.0;0.0;0.0002;0.0;0.00126;0.000312;0.00165;0.00393;0.00211;0.00965;0.0
281;24;NL40_C-361661__NL40_BO_13;0.0;0.0;0.00247;0.0015;0.0;0.00234;0.00275;0.0;0.0;0.0;0.0;0.0113;0.0;0.00109;0.0;0.00482;0.000244;0.000232;0.0;0.00161;0.00332;0.00035;0.00275;0.0;0.00181;0.00298;0.0;0.000273;0.0188;0.0;0.0002;0.00598;0.00132;0.00154;0.0;0.0;0.00549;0.0;0.0;0.0;0.0;2e-05;0.00139;0.000276;0.0015;0.00258;0.00216;0.0012;0.0
296;25;NL40_C-364867__NL40_YOP_0201;0.00251;0.0;0.00395;0.000446;0.0;0.0186;0.00171;0.0;0.0012;0.0;0.0;0.00758;0.000226;0.00296;0.0;0.0114;0.000576;0.00137;0.000153;0.00454;0.00861;0.00102;0.011;0.0;0.00513;0.01;0.000117;5.1e-05;0.00714;0.0;0.0002;0.00243;0.00114;0.000435;0.0;0.0;0.0484;0.0;0.0;0.0;0.0002;0.0;0.0;0.000624;0.00394;0.0123;0.0;0.00124;0.0
326;28;NL40_C-362323__NL40_BO_13;0.0;0.0;0.00149;0.00108;0.0;0.00482;0.00282;0.000196;0.0;0.0;0.0;0.00929;0.0;0.00128;0.0;0.00489;0.000266;0.000388;0.0;0.00171;0.00344;0.000472;0.00273;0.0;0.0033;0.00432;0.0;0.000304;0.0093;0.0;0.0;0.00498;0.00153;0.00188;0.0;0.0;0.00817;0.0;0.0;0.0;0.0;1.8e-05;0.00132;0.000285;0.00218;0.00847;0.0021;0.00124;0.0
341;29;NL40_C-364868__NL40_YOP_0201;0.0;0.0;0.00467;0.000328;0.0;0.00677;0.00185;0.0;0.00112;0.0;0.0;0.00787;0.000122;0.0017;0.0;0.00919;0.000374;0.00094;9.8e-05;0.00357;0.00611;0.000812;0.00841;0.0;0.00332;0.00762;0.0;0.0;0.00577;0.0;0.0002;0.00315;0.0;0.000852;0.0;0.0;0.0115;0.0;0.0;0.0;0.0002;0.0;0.00109;0.000374;0.0024;0.0113;0.0;0.000748;0.0
350;30;NL40_C-362686__NL40_GO_08;0.0;0.0;0.011;0.000561;0.0;0.00509;0.0039;0.0;0.0;0.0;0.0;0.00885;0.0;0.00116;0.0;0.00613;0.00025;0.000202;0.0;0.00245;0.00458;0.000472;0.00316;0.0;0.00184;0.0062;0.0;0.000123;0.00396;0.0;0.0;0.00418;0.00325;0.00154;0.0;0.0;0.011;0.0;0.0;0.0;0.0;0.0;0.00179;0.000285;0.00181;0.0108;0.00245;0.00768;0.0
355;31;NL40_C-362764__NL40_HO_05;0.00156;0.0;0.00991;0.00056;0.0;0.0088;0.00611;0.00013;0.0;0.0;0.0;0.00729;0.0;0.000879;0.0;0.00638;0.000193;0.000457;0.000128;0.00216;0.0033;0.000601;0.00488;0.0;0.00198;0.00502;0.000108;0.000909;0.0;0.0;0.0;0.00239;0.0;0.00133;0.00506;0.0;0.0162;0.0;0.0;0.0;0.0;0.0;0.00152;0.000259;0.00143;0.0233;0.00219;0.00109;0.0
368;32;NL40_C-362773__NL40_BO_13;0.0;0.0;0.0014;0.000769;0.0;0.00434;0.00333;0.000393;0.0;0.0;0.0;0.00814;0.0;0.000979;0.000435;0.00462;0.000239;0.000238;5.6e-05;0.0017;0.00366;0.000331;0.00224;0.0;0.00177;0.00402;0.0;0.000133;0.00353;0.0;0.0002;0.00393;0.00126;0.00141;0.0;0.0;0.00629;0.0;0.0;0.0;0.0002;0.0;0.0018;0.000285;0.00142;0.0126;0.00228;0.000813;0.0
384;33;NL40_C-362856__NL40_YOP_0201;0.0;0.0;0.00287;0.000427;0.0;0.00134;0.0023;0.0;0.0;0.0;0.0;0.00927;0.000104;0.00161;5.77e-05;0.00806;0.000351;0.000654;0.000106;0.00289;0.00513;0.000591;0.00522;0.0;0.00297;0.00681;0.0;0.0;0.00231;0.0;0.0002;0.00321;0.0;0.00116;0.0;0.0;0.00314;0.0;0.0;0.0;0.0002;0.0;0.00145;0.000432;0.00243;0.00778;0.00228;0.0;0.0
403;34;NL40_C-363241__NL40_GO_08;0.0;0.0;0.00989;0.0;0.0;0.00379;0.0464;0.000144;0.0;0.0;0.0;0.00713;0.0;0.00103;0.0;0.00576;0.000228;0.000318;0.0;0.00244;0.00436;0.000626;0.00324;0.0;0.00224;0.00548;0.0;5.9e-05;0.0;0.0;0.0;0.00157;0.00924;0.00119;0.0;0.0;0.0174;0.0;0.00514;0.0;0.0;0.0;0.00484;0.000283;0.00174;0.00899;0.00281;0.00361;0.0
407;35;NL40_C-363336__NL40_HO_05;0.0;0.0;0.0094;0.0;0.0;0.0;0.00419;0.0;0.0;0.0;0.0;0.00533;0.0;0.000834;0.0;0.00741;0.000186;0.000323;6.6e-05;0.00228;0.00314;0.000575;0.00569;0.0;0.00141;0.00501;0.0;0.00103;0.0;0.0;0.0;0.00164;0.0011;0.00116;0.0024;0.0;0.00659;0.0;0.0;0.0;0.0;0.0;0.00107;0.000202;0.00178;0.00841;0.00215;0.000793;0.0
412;36;NL40_C-363419__NL40_YOP_0201;0.00368;0.0;0.004;0.0;0.0;0.0;0.00168;0.0;0.00108;0.0;0.0;0.00819;0.000196;0.00304;0.0;0.0116;0.000653;0.000919;0.000121;0.00469;0.0093;0.00083;0.00844;0.0;0.0042;0.00985;0.000103;0.0;0.0;0.0;0.0002;0.00184;0.00168;0.000901;0.0;0.0;0.0134;0.0;0.0;0.0;0.0002;0.0;0.0;0.000659;0.00393;0.00552;0.0;0.000696;0.0
430;37;NL40_C-365272__NL40_BO_13;0.0;0.0;0.00119;0.000616;0.0;0.0015;0.00284;0.000189;0.0;0.0;0.0;0.00899;0.0;0.00113;0.0;0.00528;0.000298;0.000368;0.0;0.00206;0.00386;0.000548;0.0026;0.0;0.00289;0.00512;0.0;0.000241;0.00308;0.0;0.0002;0.00393;0.0;0.00141;0.0;0.0;0.00294;0.0;0.0;0.0;0.0002;0.0;0.0012;0.000351;0.00195;0.00837;0.00331;0.0006;0.0
449;38;NL40_C-363614__NL40_GO_08;0.0;0.0;0.0;0.0;0.0;0.0;0.00196;0.0;0.0;0.0;0.0;0.00738;0.0;0.00105;0.0;0.00798;0.000273;0.000194;0.0;0.00298;0.00442;0.000583;0.00375;0.0;0.00155;0.00612;0.0;0.0;0.0;0.0;0.0002;0.00237;0.0;0.00116;0.0;0.0;0.00104;0.0;0.0;0.0;0.0002;0.0;0.0;0.000371;0.0024;0.00292;0.0;0.0;0.0
456;39;NL40_C-363897__NL40_HO_05;0.0;0.0;0.00561;0.0;0.0;0.0;0.00395;0.000127;0.0;0.0;0.0;0.00838;0.0;0.000793;0.0;0.00529;0.000255;0.000342;7.1e-05;0.00224;0.00386;0.000484;0.00409;0.0;0.00177;0.00565;0.0;0.00115;0.0;0.0;0.0;0.00252;0.0;0.00164;0.00312;0.0;0.00172;0.0;0.0;0.0;0.0;0.0;0.0;0.000287;0.00156;0.00353;0.00212;0.0;0.0
459;40;NL40_C-365313__NL40_YOP_0201;0.0307;0.0;0.00681;0.0;0.0;0.00105;0.0027;0.000186;0.00122;0.0;0.0;0.00883;0.00063;0.00944;6.57e-05;0.0132;0.00218;0.00132;9.7e-05;0.00756;0.0223;0.00121;0.0121;0.000113;0.0112;0.0213;0.000121;0.0;0.0;0.0;0.0;0.00129;0.00178;0.00108;0.0;0.000248;0.00225;0.0;0.0;0.0;0.0;0.0;0.0;0.0021;0.0107;0.00241;0.0;0.00161;0.0
477;41;NL40_C-364001__NL40_BO_13;0.0;0.0;0.0;0.000447;0.0;0.0;0.00304;0.000128;0.0;0.0;0.0;0.00976;0.0;0.00121;0.0;0.00476;0.000281;0.000338;0.0;0.00208;0.00417;0.000512;0.00256;0.0;0.00238;0.00496;0.0;0.000205;0.00249;0.0;0.0;0.00381;0.0;0.0019;0.0;0.0;0.00242;0.0;0.0;0.0;0.0;0.0;0.00119;0.000354;0.00172;0.00504;0.00355;0.0;0.0
