;Parameter__Hoedanigheid__Eenheid;Unnamed: 1;2PFC6yC2a1sf__NVT__ug/l;Cl__NVT__ug/l;FRD-903__NVT__ug/l;L_PFBS__NVT__ug/l;L_PFHpS__NVT__ug/l;L_PFHxS__NVT__ug/l;NKj__N__ug/l;Ntot__N__ug/l;O2__NVT__%;O2__NVT__ug/l;PFBA__NVT__ug/l;PFC5asfzr__NVT__ug/l;PFDA__NVT__ug/l;PFHpA__NVT__ug/l;PFHxA__NVT__ug/l;PFNA__NVT__ug/l;PFOA__NVT__ug/l;PFOS__NVT__ug/l;PFPA__NVT__ug/l;PFUdA__NVT__ug/l;PO4__Pnf__ug/l;Ptot__P__ug/l;T__NVT__oC;pH__NVT__DIMSLS;sverttPFOS__NVT__ug/l
5;1;NL38_72726__NL38_140213;0.0012;46100.0;0.035;0.002;0.0;0.00076;1900.0;6900.0;88.0;11300.0;0.0;0.0;0.0;0.0014;0.0031;0.0;0.0066;0.0013;0.0017;0.0;122.0;210.0;4.7;7.4;0.0025
6;1;NL38_72727__NL38_140216;0.002;60700.0;0.0092;0.0022;0.0;0.00081;1000.0;5000.0;88.0;11100.0;0.006;0.0;0.0;0.0018;0.0069;0.0;0.0059;0.0011;0.0053;0.0;37.0;180.0;5.7;7.4;0.0016
7;1;NL38_72728__NL38_340438;0.0028;74000.0;0.00011;0.0075;0.0;0.0054;1300.0;3600.0;66.0;8600.0;0.0078;0.0019;0.0;0.0027;0.0062;0.0;0.012;0.003;0.0067;0.0;27.7;220.0;4.6;7.5;0.0071
8;1;NL38_72729__NL38_342420;0.0025;60700.0;0.0028;0.0032;0.0;0.0009;1100.0;5600.0;73.0;9300.0;0.0024;0.0;0.0;0.002;0.0053;0.0;0.0065;0.0013;0.004;0.0;30.0;140.0;5.2;7.5;0.0017
16;1;NL40_C-365418__NL40_BOP_2712;0.0;544000.0;0.0;0.00454;0.000627;0.01;2500.0;5400.0;68.0;9000.0;0.00773;0.00149;0.0004;0.00231;0.0054;0.000484;0.00649;0.0165;0.00443;0.0;29.8;180.0;4.0;7.5;0.0128
66;5;NL38_75727__NL38_140216;0.0;43000.0;0.012;0.0035;0.0;0.0011;1600.0;8000.0;87.0;11100.0;0.0074;0.0;0.0;0.0033;0.0095;0.0;0.0096;0.0012;0.007;0.0;91.6;220.0;5.3;7.3;0.0021
67;5;NL40_C-365936__NL40_YOP_1406;0.0;68300.0;0.0;0.00687;0.000117;0.00158;500.0;980.0;106.0;12800.0;0.00823;0.000423;0.000727;0.00335;0.00685;0.000679;0.00612;0.00195;0.0074;0.0;0.0;39.0;7.6;8.1;0.00203
68;5;NL40_C-365989__NL40_FO_03;0.0;228000.0;0.0;0.00318;0.0;0.000757;1000.0;9600.0;86.0;10300.0;0.00657;0.000296;7.92e-05;0.000608;0.0014;0.000113;0.00244;0.000999;0.00135;0.0;27.3;120.0;7.9;7.5;0.00104
69;6;NL40_C-366010__NL40_BO_95;0.0;427000.0;0.0021;0.0076;0.0006;0.012;930.0;1400.0;96.0;13200.0;0.02;0.0015;0.0009;0.012;0.029;0.0024;0.04;0.015;0.025;0.0;12.7;41.0;2.2;8.7;0.019
70;6;NL40_C-366013__NL40_BO_95DIEP;0.0;425000.0;0.0019;0.008;0.0005;0.012;930.0;1400.0;91.0;12600.0;0.019;0.0014;0.0009;0.012;0.031;0.0026;0.044;0.015;0.023;0.0;12.2;42.0;2.1;8.5;0.018
71;7;NL38_75741__NL38_340438;0.0;51200.0;0.0002;0.014;0.001;0.011;1400.0;5000.0;72.0;8900.0;0.0072;0.0047;0.0;0.0035;0.011;0.0;0.02;0.008;0.0044;0.0;9.06;240.0;6.5;7.2;0.014
72;7;NL38_75760__NL38_342420;0.0021;72600.0;0.0087;0.0038;0.0;0.0012;3000.0;8000.0;95.0;12200.0;0.016;0.0;0.0;0.0025;0.0063;0.0;0.0093;0.0022;0.0055;0.0;63.0;250.0;5.0;7.3;0.0028
73;7;NL40_C-366023__NL40_BO_15;0.0;281000.0;0.0;0.00368;0.0;0.00131;2200.0;6100.0;89.0;12000.0;0.00874;0.000273;0.000278;0.00215;0.0051;0.000395;0.00462;0.002;0.00442;0.0;314.0;410.0;3.0;7.5;0.00175
74;7;NL40_C-366042__NL40_FOP_1710;0.0;345000.0;0.0;0.00259;0.0;0.000533;2400.0;8700.0;82.0;11100.0;0.00725;0.000189;9.39e-05;0.000866;0.00163;0.000172;0.00312;0.000803;0.00161;0.0;64.7;150.0;2.8;7.9;0.000754
97;8;NL38_75445__NL38_140213;0.0;47500.0;0.12;0.003;0.0;0.0008;2400.0;9800.0;88.0;10400.0;0.0064;0.0;0.0;0.0025;0.0029;0.0;0.019;0.0007;0.0032;0.0;145.0;300.0;8.6;7.1;0.0013
98;8;NL40_C-366163__NL40_BOP_2712;0.0;682000.0;0.0;0.00318;0.000344;0.00683;2600.0;4900.0;126.0;14200.0;0.00748;0.00119;0.000168;0.00162;0.00326;0.000279;0.00504;0.00792;0.0029;0.0;0.0;360.0;10.6;8.2;0.00651
110;9;NL38_73054__NL38_140216;0.0;71500.0;0.021;0.0032;0.0;0.0009;1800.0;5800.0;83.0;9900.0;0.0046;0.0;0.0;0.003;0.0082;0.0;0.015;0.001;0.0079;0.0;59.0;210.0;8.6;7.3;0.0018
111;9;NL40_C-366260__NL40_YOP_0132;0.0052;94300.0;0.01;0.016;0.0;0.0022;2000.0;3000.0;124.0;14600.0;0.014;0.0;0.001;0.0055;0.0097;0.001;0.055;0.0044;0.0091;0.0;0.0;57.0;8.8;7.9;0.0067
112;9;NL40_C-366267__NL40_YOP_0801;0.0;89600.0;0.0014;0.0073;0.0;0.0013;1700.0;2600.0;126.0;15300.0;0.006;0.0;0.0;0.0018;0.0036;0.0;0.013;0.0044;0.0036;0.0;0.0;140.0;7.5;8.1;0.0055
113;9;NL40_C-366301__NL40_DWOP0703;0.0;171000.0;0.0048;0.0061;0.0;0.0011;960.0;2400.0;100.0;12500.0;0.013;0.0;0.0;0.0061;0.016;0.0012;0.1;0.0013;0.022;0.0;0.0;42.0;6.6;7.9;0.0026
124;10;NL38_73055__NL38_340438;0.0;74600.0;0.0001;0.0079;0.0;0.0056;1200.0;3800.0;84.0;10300.0;0.0062;0.0024;0.0;0.0032;0.0085;0.0;0.01;0.0032;0.0053;0.0;18.1;150.0;7.2;7.7;0.0072
125;10;NL40_C-366350__NL40_YOP_1406;0.0;72400.0;0.00124;0.00643;0.0;0.0015;600.0;760.0;105.0;12800.0;0.00779;0.00038;0.000694;0.0036;0.00639;0.000662;0.00669;0.0022;0.00736;0.0;0.0;44.0;6.9;8.3;0.00263
126;10;NL40_C-366351__NL40_BO_15;0.0;268000.0;0.0;0.00301;0.000189;0.00154;1200.0;3500.0;123.0;14900.0;0.00596;0.000204;0.000196;0.00216;0.0045;0.000338;0.00474;0.00257;0.00375;0.0;30.9;170.0;7.6;8.4;0.00374
127;10;NL40_C-366366__NL40_FO_03;0.0;454000.0;0.0;0.00329;0.0;0.00124;2100.0;4500.0;86.0;10600.0;0.00892;0.000348;0.000173;0.00119;0.00254;0.000247;0.00358;0.0018;0.00336;0.0;6.16;170.0;7.0;8.3;0.00141
128;10;NL40_C-366378__NL40_FOP_1710;0.0;113000.0;0.0;0.00518;0.0;0.00109;800.0;4000.0;102.0;12400.0;0.0424;0.000247;0.00018;0.0014;0.00293;0.000291;0.00279;0.0015;0.00308;0.0;51.4;110.0;7.7;8.2;0.00143
153;11;NL40_C-366478__NL40_DWOP0705;0.0;117000.0;0.0076;0.006;0.0;0.0008;720.0;940.0;75.0;9100.0;0.011;0.0;0.0;0.0056;0.0073;0.0009;0.079;0.0017;0.0061;0.0;0.0;53.0;7.8;7.9;0.0035
154;11;NL40_C-366480__NL40_DWOP1005;0.0;70800.0;0.0085;0.0078;0.0;0.001;750.0;840.0;92.0;11100.0;0.012;0.0;0.0;0.008;0.0074;0.0008;0.17;0.0025;0.006;0.0;0.0;76.0;7.6;8.2;0.0036
155;11;NL40_C-366481__NL40_DWOP1019;0.0;105000.0;0.00858;0.00661;0.0;0.00127;1600.0;2600.0;117.0;14100.0;0.0139;0.000378;0.000271;0.00723;0.00723;0.000679;0.135;0.00166;0.00737;0.0;0.0;120.0;7.8;8.2;0.00211
157;11;NL40_C-366494__NL40_HOP_1011;0.0;82300.0;0.0014;0.0061;0.0;0.0008;2500.0;2800.0;175.0;20000.0;0.01;0.0;0.0;0.0014;0.0021;0.0;0.0085;0.0026;0.0055;0.0;0.0;370.0;8.6;8.8;0.0028
165;13;NL38_75173__NL38_340438;0.0095;70100.0;0.0002;0.0089;0.0;0.0063;850.0;2700.0;90.0;9500.0;0.0055;0.0021;0.0;0.0054;0.01;0.0;0.016;0.0038;0.0063;0.0;61.2;210.0;13.2;7.6;0.0087
175;14;NL38_73552__NL38_140213;0.0;45800.0;0.096;0.0024;0.0;0.0012;1500.0;4400.0;94.0;11300.0;0.003;0.0009;0.0;0.004;0.0012;0.0;0.024;0.0012;0.0019;0.0;106.0;230.0;7.9;7.5;0.0034
176;14;NL38_73562__NL38_342420;0.0056;66900.0;0.012;0.003;0.0;0.002;1400.0;4100.0;89.0;10400.0;0.0031;0.0012;0.0;0.0037;0.0042;0.0;0.0087;0.0025;0.004;0.0;27.0;170.0;9.5;7.8;0.0062
177;14;NL40_C-366697__NL40_YOP_1406;0.0;76700.0;0.0;0.00637;0.0;0.00158;570.0;600.0;90.0;11000.0;0.00917;0.000324;0.000836;0.00363;0.00705;0.000711;0.0068;0.00254;0.00732;0.000106;0.0;61.0;7.5;8.1;0.00196
178;14;NL40_C-366703__NL40_BO_15;0.0;262000.0;0.0;0.00369;0.0;0.00118;1400.0;2900.0;84.0;10100.0;0.0184;0.000188;0.000193;0.0022;0.00482;0.00036;0.00403;0.00225;0.00405;0.0;80.1;210.0;8.1;8.3;0.00188
179;14;NL40_C-366735__NL40_BOP_2712;0.00135;524000.0;0.0;0.0042;0.000589;0.00966;2400.0;2600.0;97.0;12200.0;0.0144;0.00126;0.000195;0.00282;0.00595;0.000379;0.00507;0.0161;0.00698;0.0;0.0;230.0;5.7;8.1;0.0122
180;14;NL40_C-366746__NL40_DWOP1002;0.0;105000.0;0.011;0.0062;0.0;0.0032;660.0;730.0;96.0;11800.0;0.0074;0.0014;0.0;0.0091;0.011;0.0012;0.077;0.005;0.0057;0.0;14.7;45.0;7.2;8.2;0.013
181;14;NL40_C-366748__NL40_DWOP1005;0.0;63400.0;0.012;0.0051;0.0;0.0022;760.0;820.0;86.0;10600.0;0.0071;0.001;0.0;0.015;0.011;0.0013;0.11;0.0047;0.0037;0.0;6.77;91.0;6.6;8.0;0.01
195;15;NL40_C-366811__NL40_YOP_0601;0.00104;163000.0;0.00115;0.00691;0.000192;0.00313;1400.0;1800.0;98.0;11700.0;0.0155;0.000723;0.000458;0.00415;0.00735;0.00148;0.0186;0.00336;0.00926;0.000105;0.0;100.0;8.2;7.8;0.00375
196;15;NL40_C-366894__NL40_DWOP0807;0.0;67600.0;0.00313;0.00842;0.0;0.000812;1100.0;1200.0;119.0;13800.0;0.0179;0.000195;7.8e-05;0.00282;0.0037;0.000251;0.0467;0.000703;0.00369;0.0;0.0;79.0;9.2;8.0;0.0014
197;15;NL40_C-366899__NL40_FO_03;0.0;478000.0;0.00141;0.0043;0.0;0.00115;1100.0;2600.0;92.0;10700.0;0.0145;0.000236;0.000178;0.00203;0.00354;0.000311;0.00341;0.00158;0.00241;0.0;0.0;130.0;9.5;8.0;0.00159
198;15;NL40_C-366913__NL40_YOP_0801;0.0;102000.0;0.0063;0.0074;0.0005;0.005;1800.0;2100.0;106.0;12400.0;0.0079;0.0017;0.0;0.0089;0.0073;0.0011;0.025;0.014;0.003;0.0;7.33;270.0;9.1;8.1;0.021
199;15;NL40_C-366918__NL40_YOP_0132;0.0029;111000.0;0.0098;0.014;0.0;0.0021;1500.0;2100.0;127.0;14800.0;0.016;0.0;0.0009;0.0047;0.0086;0.001;0.066;0.0042;0.0073;0.0;0.0;83.0;9.3;7.8;0.0063
200;15;NL40_C-366930__NL40_DWOP0705;0.0;126000.0;0.0069;0.0067;0.0;0.001;760.0;820.0;106.0;12300.0;0.013;0.0;0.0006;0.0073;0.0078;0.001;0.093;0.0024;0.0062;0.0;0.0;29.0;9.0;8.0;0.0051
215;16;NL38_75169__NL38_140216;0.0;81900.0;0.018;0.0027;0.0;0.0008;1200.0;4000.0;100.0;10600.0;0.0086;0.0;0.0;0.0044;0.011;0.0;0.012;0.0009;0.0065;0.0;23.2;170.0;13.6;7.8;0.0016
